Rk	team	categories	R1	R2	R3	R4	R5	Pts	Spk	1sts	2nds
54	UBC TW	Novice	3rd	1st	3rd	3rd	3rd	7	766	1	0
55=	Queen&#x27;s 4		2nd	2nd	3rd	4th	2nd	7	763	0	3
55=	concepts of a plan		2nd	2nd	3rd	2nd	4th	7	763	0	3
57=	Cornell B		2nd	1st	4th	3rd	3rd	7	759	1	1
57=	Fordham C		3rd	4th	1st	3rd	2nd	7	759	1	1
59	Timothy Dwight IV		2nd	4th	2nd	1st	4th	7	756	1	2
60	wooden spoon survivors		3rd	2nd	4th	3rd	1st	7	752	1	1
61	EDS hhiv bottom tab champs 🔥🔥🔥		3rd	3rd	4th	2nd	1st	7	751	1	1
62	Duke RS	Novice	3rd	1st	3rd	4th	2nd	7	747	1	1
63	Bard KO		2nd	3rd	3rd	4th	1st	7	744	1	1
64	Fracking 😍		4th	2nd	3rd	2nd	2nd	7	738	0	3
65	Bard MM	Novice	4th	3rd	4th	1st	1st	7	721	2	0
66	HWS A		2nd	1st	4th	3rd	4th	6	766	1	1
67	Princeton Sleepy Joes	Novice	1st	4th	4th	1st	4th	6	762	2	0
68	Cornell C		2nd	4th	1st	4th	3rd	6	760	1	1
69	Wisconsin GP		1st	4th	2nd	3rd	4th	6	759	1	1
70	Queen&#x27;s 3		3rd	3rd	1st	4th	3rd	6	759	1	0
71	Cornell D	Novice	2nd	4th	1st	4th	3rd	6	753	1	1
72	Open to Network	Novice	4th	1st	4th	2nd	3rd	6	751	1	1
73	Middlebury KM		4th	3rd	2nd	3rd	2nd	6	750	0	2
74	Lassies		1st	4th	4th	1st	4th	6	745	2	0
75	paul&#x27;s silicone oven glove		3rd	1st	4th	4th	2nd	6	745	1	1
76	Carleton We Will Bribe You		4th	3rd	4th	1st	2nd	6	740	1	1
77	The Noodle Dream Team		4th	3rd	2nd	2nd	3rd	6	735	0	2
78	EDS Extraordinarily Dense Squires	Novice	4th	1st	4th	4th	1st	6	733	2	0
79	Ben &amp; Jerry&#x27;s		4th	2nd	3rd	1st	4th	6	732	1	1
80	Middlebury LS	Novice	2nd	4th	4th	3rd	1st	6	720	1	1
81	Mile		2nd	4th	3rd	3rd	3rd	5	749	0	1
82	Fordham A		3rd	4th	1st	3rd	4th	5	747	1	0
83	Middlebury RY	Novice	4th	3rd	2nd	2nd	4th	5	745	0	2
84	Debatable Decisions	Novice	3rd	4th	1st	3rd	4th	5	743	1	0
85	HWS D		2nd	3rd	3rd	3rd	4th	5	743	0	1
86	HWS B		3rd	4th	3rd	3rd	2nd	5	742	0	1
87	Wax		1st	4th	3rd	4th	3rd	5	737	1	0
88	Carleton sorority girl and engineer	Novice	4th	4th	1st	4th	2nd	5	733	1	1
89	Joris Bohnson	Novice	2nd	3rd	4th	3rd	4th	4	746	0	1
90	Carleton OBJECTIVELY reddit saved my life		3rd	2nd	4th	4th	3rd	4	739	0	1
91	HWS C		4th	3rd	4th	4th	1st	4	723	1	0
92	UoG Baddies		4th	3rd	1st	4th	4th	4	712	1	0
93	Odette 1	Novice	4th	4th	3rd	2nd	3rd	4	699	0	1
94	Space Ninjas		4th	4th	3rd	3rd	3rd	3	731	0	0
95	RUN SS		4th	4th	2nd	4th	3rd	3	730	0	1
96	guess which one of us is bi		3rd	4th	4th	2nd	4th	3	725	0	1
97	RUN YD	Novice	3rd	4th	3rd	4th	4th	2	718	0	0
98	Middlebury CC	Novice	4th	2nd	4th	4th	4th	2	714	0	1
99	Speakeasy		4th	4th	3rd	3rd	4th	2	699	0	0
100	Swing B		—	—	—	—	2nd	2	150	0	1
101	Odette 2	Novice	4th	4th	4th	4th	—	0	562	0	0
102	Swing C		—	—	—	—	—	—	—	0	0
