Rk	team	categories	R1	R2	R3	R4	R5	R6	Pts	Spk	1sts	2nds
36	UChicago CG	Novice	2nd	4th	2nd	3rd	1st	3rd	9	921	1	2
37	QDU KM		3rd	4th	2nd	4th	1st	1st	9	920	2	1
38	Tufts HC		3rd	4th	1st	3rd	2nd	2nd	9	909	1	2
39	UCSD CL		3rd	3rd	2nd	1st	3rd	3rd	9	906	1	1
40	JHU CW		4th	3rd	3rd	1st	3rd	1st	9	901	2	0
41	Yale BT	Novice	4th	2nd	3rd	1st	1st	4th	9	900	2	1
42	JHU GL		3rd	1st	4th	2nd	2nd	4th	8	935	1	2
43	Princeton AJ		3rd	2nd	1st	3rd	3rd	4th	8	925	1	1
44	Duke BF		2nd	4th	1st	3rd	3rd	3rd	8	923	1	1
45	UWODS GS		1st	4th	2nd	3rd	2nd	4th	8	922	1	2
46	Hart House PR	Novice	1st	3rd	4th	4th	1st	3rd	8	914	2	0
47	Hart House HY	Novice	3rd	2nd	3rd	2nd	3rd	3rd	8	911	0	2
48	HWS LW		3rd	2nd	3rd	4th	3rd	1st	8	902	1	1
49	Hart House Swing C		3rd	2nd	4th	1st	2nd	—	8	768	1	2
50	Hart House BS		1st	4th	4th	4th	1st	3rd	7	920	2	0
51	QDU CW	Novice	4th	4th	2nd	2nd	3rd	2nd	7	903	0	3
52	TEC OV		2nd	4th	2nd	4th	2nd	3rd	7	901	0	3
53	Davidson ML		4th	1st	4th	3rd	1st	4th	7	899	2	0
54	Sodales BP		2nd	4th	3rd	2nd	4th	2nd	7	899	0	3
55	MDU DK		4th	4th	1st	3rd	2nd	3rd	7	894	1	1
56	QDU DM		4th	2nd	1st	4th	2nd	4th	7	893	1	2
57	UCSD HU	Novice	4th	4th	3rd	4th	1st	1st	7	889	2	0
58	Davidson BC	Novice	3rd	3rd	4th	3rd	2nd	2nd	7	886	0	2
59	QDU WX		2nd	2nd	1st	4th	4th	—	7	784	1	2
60	UCSD GW		3rd	2nd	2nd	3rd	4th	4th	6	915	0	2
61	Carleton GK	Novice	4th	3rd	1st	4th	2nd	4th	6	900	1	1
62	UMiami LR		3rd	4th	2nd	2nd	4th	3rd	6	895	0	2
63	UAlberta DT		3rd	4th	4th	2nd	3rd	2nd	6	889	0	2
64	Dartmouth AE	Novice	4th	1st	3rd	3rd	3rd	4th	6	884	1	0
65	EDS BK		1st	4th	4th	2nd	3rd	—	6	769	1	1
66	Harvard PW		4th	1st	4th	1st	4th	—	6	760	2	0
67	Dartmouth CF	Novice	2nd	4th	2nd	2nd	4th	—	6	749	0	3
68	MDU KL	Novice	4th	2nd	1st	4th	4th	4th	5	885	1	1
69	UCalgary BT		4th	4th	3rd	1st	3rd	—	5	732	1	0
70	MDU AS		3rd	3rd	4th	2nd	4th	4th	4	891	0	1
71	Princeton CW		3rd	3rd	3rd	4th	4th	3rd	4	885	0	0
72	Davidson DW		4th	3rd	3rd	4th	2nd	4th	4	880	0	1
73	UCLA HN		4th	4th	4th	1st	4th	3rd	4	874	1	0
74	MDU CC	Novice	3rd	4th	4th	3rd	3rd	—	3	729	0	0
75	UBC GS	Novice	4th	2nd	4th	3rd	—	—	3	589	0	1
76	Swing 4		—	—	—	—	—	1st	3	164	1	0
77	Swing 2		—	—	—	—	4th	2nd	2	296	0	1
78	Cornell PK		2nd	—	—	—	—	—	2	160	0	1
79	UCSD FH	Novice	4th	3rd	4th	4th	4th	4th	1	856	0	0
80	UChicago MY	Novice	—	—	—	—	—	—	—	—	0	0
