team	result	side	adjudicators
UWODS CL	2nd	Closing Government	Klaudia MaciejewskaⒸ , Narey , Sinziana Stanciu
GWU PM	3rd	Closing Opposition	Klaudia MaciejewskaⒸ , Narey , Sinziana Stanciu
QDU KM	2nd	Opening Opposition	Pranav AnandⒸ , Elgin Lin
Tufts HC	1st	Closing Government	Pranav AnandⒸ , Elgin Lin
UCalgary BT	3rd	Opening Government	Pranav AnandⒸ , Elgin Lin
UAlberta DT	4th	Closing Opposition	Pranav AnandⒸ , Elgin Lin
HWS LW	3rd	Opening Government	Matthew Conley-EvansⒸ , Saron Teferra
Yale AT	2nd	Opening Opposition	Matthew Conley-EvansⒸ , Saron Teferra
Hart House BS	4th	Closing Government	Matthew Conley-EvansⒸ , Saron Teferra
Swing 1	1st	Closing Opposition	Matthew Conley-EvansⒸ , Saron Teferra
UWODS GS	2nd	Opening Government	Andrew ChenⒸ , Emily Shi
UCLA CH	3rd	Opening Opposition	Andrew ChenⒸ , Emily Shi
UWODS LZ	4th	Closing Government	Andrew ChenⒸ , Emily Shi
Harvard LR	1st	Closing Opposition	Andrew ChenⒸ , Emily Shi
Harvard PW	4th	Opening Government	Gwen StearnsⒸ , Olga Enikeeva , Patrick Cowley
Duke CM	3rd	Opening Opposition	Gwen StearnsⒸ , Olga Enikeeva , Patrick Cowley
UCSD GW	2nd	Closing Government	Gwen StearnsⒸ , Olga Enikeeva , Patrick Cowley
UWODS SU	1st	Closing Opposition	Gwen StearnsⒸ , Olga Enikeeva , Patrick Cowley
Williams IL	4th	Closing Opposition	Jess MusulinⒸ , Alice Bertoni , Vidit Desai
Princeton ML	3rd	Opening Government	Juanita Hincapie RestrepoⒸ , Jack Palmer , Sneha Verma
HWS KK	4th	Opening Opposition	Juanita Hincapie RestrepoⒸ , Jack Palmer , Sneha Verma
MDU PR	1st	Closing Government	Juanita Hincapie RestrepoⒸ , Jack Palmer , Sneha Verma
Sodales BP	3rd	Opening Government	Dennis SuⒸ , Liliana Gómez , Trinh Le Quang
QDU DM	1st	Opening Opposition	Dennis SuⒸ , Liliana Gómez , Trinh Le Quang
Hart House EM	2nd	Closing Government	Dennis SuⒸ , Liliana Gómez , Trinh Le Quang
UBC GS	4th	Closing Opposition	Dennis SuⒸ , Liliana Gómez , Trinh Le Quang
UChicago KN	2nd	Closing Opposition	Juanita Hincapie RestrepoⒸ , Jack Palmer , Sneha Verma
Yale NS	1st	Opening Government	Micaela LewisⒸ , Jessica Singh , Sam Huang
Harvard HS	3rd	Opening Opposition	Micaela LewisⒸ , Jessica Singh , Sam Huang
Princeton LW	2nd	Closing Government	Micaela LewisⒸ , Jessica Singh , Sam Huang
Princeton HW	4th	Closing Opposition	Micaela LewisⒸ , Jessica Singh , Sam Huang
TEC GV	3rd	Opening Government	Jacob SilcoffⒸ , Emily Paulin , Suman Mitra
EDS BK	4th	Opening Opposition	Jacob SilcoffⒸ , Emily Paulin , Suman Mitra
UCSD CL	2nd	Closing Government	Jacob SilcoffⒸ , Emily Paulin , Suman Mitra
Dartmouth BC	1st	Closing Opposition	Jacob SilcoffⒸ , Emily Paulin , Suman Mitra
UCSD FH	4th	Opening Government	Erasmus SegbefiaⒸ , Simon Luo
Davidson DW	3rd	Opening Opposition	Erasmus SegbefiaⒸ , Simon Luo
Carleton GK	1st	Closing Government	Erasmus SegbefiaⒸ , Simon Luo
UMiami LR	2nd	Closing Opposition	Erasmus SegbefiaⒸ , Simon Luo
Yale HK	2nd	Opening Government	Lovro ŠpremⒸ , Momotaz Rahman Megha
Bates HM	1st	Opening Opposition	Lovro ŠpremⒸ , Momotaz Rahman Megha
UChicago KL	4th	Closing Government	Lovro ŠpremⒸ , Momotaz Rahman Megha
Harvard KY	3rd	Closing Opposition	Lovro ŠpremⒸ , Momotaz Rahman Megha
QDU WX	1st	Opening Government	Jess MusulinⒸ , Alice Bertoni , Vidit Desai
UAlberta BJ	3rd	Opening Opposition	Jess MusulinⒸ , Alice Bertoni , Vidit Desai
Harvard QR	2nd	Closing Government	Jess MusulinⒸ , Alice Bertoni , Vidit Desai
Princeton MJ	1st	Opening Government	Aoileann Ní MhurchúⒸ , Gaveal Fan , Ruth Silcoff
Princeton GI	3rd	Opening Opposition	Aoileann Ní MhurchúⒸ , Gaveal Fan , Ruth Silcoff
Hart House YY	2nd	Closing Government	Aoileann Ní MhurchúⒸ , Gaveal Fan , Ruth Silcoff
JHU GL	4th	Closing Opposition	Aoileann Ní MhurchúⒸ , Gaveal Fan , Ruth Silcoff
