Rk	team	categories	R1	R2	R3	R4	R5	R6	R7	R8	R9	Pts	Spk	1sts	2nds	Irons	DS
155	Columbia A	ESL	1st	2nd	1st	3rd	2nd	4th	3rd	4th	3rd	13	1398	2	2	0	434
156	TCD Phil A		2nd	1st	3rd	3rd	4th	1st	2nd	3rd	4th	13	1395	2	2	0	386
157	NTU C		3rd	1st	3rd	3rd	3rd	1st	1st	4th	4th	13	1393	3	0	0	376
158	DLSU PG	ESL	1st	4th	1st	1st	3rd	2nd	4th	3rd	4th	13	1391	3	1	0	400
159	Dartmouth C		3rd	2nd	3rd	1st	3rd	3rd	4th	2nd	2nd	13	1390	1	3	0	349
160	Keio YF	ESL, EFL	4th	1st	3rd	1st	2nd	3rd	4th	2nd	3rd	13	1381	2	2	0	346
161	DLSU HD	ESL	4th	1st	2nd	3rd	3rd	4th	1st	2nd	3rd	13	1379	2	2	0	345
162	UM A		2nd	3rd	3rd	1st	4th	1st	3rd	4th	2nd	13	1376	2	2	0	383
163	Redacted A 💻	ESL	3rd	2nd	3rd	1st	3rd	4th	3rd	1st	3rd	13	1376	2	1	0	356
164	Duke C		1st	4th	4th	2nd	3rd	1st	3rd	4th	1st	13	1375	3	1	0	346
165	YUU KC		3rd	3rd	1st	3rd	1st	3rd	3rd	4th	2nd	13	1375	2	1	0	359
166	Alberta A		2nd	3rd	3rd	3rd	3rd	1st	1st	3rd	4th	13	1374	2	1	0	377
167	UT MARA B	ESL	3rd	2nd	1st	4th	4th	1st	4th	3rd	1st	13	1373	3	1	0	364
168	Chula C	ESL, EFL	1st	3rd	4th	3rd	3rd	2nd	1st	2nd	4th	13	1371	2	2	0	360
169	YUU PL		4th	3rd	2nd	2nd	4th	1st	2nd	4th	1st	13	1370	2	3	0	344
170	USC A		4th	2nd	1st	4th	3rd	1st	1st	4th	3rd	13	1365	3	1	0	334
171	Tokyo D	ESL	2nd	2nd	4th	1st	4th	3rd	3rd	1st	3rd	13	1365	2	2	0	372
172	SLSP A		4th	1st	3rd	2nd	3rd	3rd	2nd	2nd	3rd	13	1365	1	3	0	344
173	MMU A	ESL	4th	2nd	3rd	1st	4th	3rd	3rd	2nd	1st	13	1364	2	2	0	337
174	Midlands B	ESL	4th	4th	1st	3rd	1st	3rd	2nd	4th	1st	13	1361	3	1	0	312
175	BAC A	ESL	3rd	4th	4th	2nd	2nd	3rd	1st	3rd	1st	13	1360	2	2	0	286
176	Turan A	ESL, EFL	2nd	4th	3rd	4th	3rd	1st	2nd	3rd	1st	13	1358	2	2	0	317
177	HKU B	ESL	4th	4th	1st	4th	4th	1st	2nd	2nd	1st	13	1355	3	2	0	294
178	UNUD A	ESL, EFL	3rd	2nd	1st	3rd	4th	4th	3rd	1st	2nd	13	1353	2	2	0	343
179	Keio SG		4th	1st	3rd	4th	1st	2nd	2nd	4th	2nd	13	1352	2	3	0	337
180	Seoul A	ESL, EFL	2nd	4th	3rd	3rd	2nd	4th	2nd	1st	2nd	13	1352	1	4	0	319
181	WAD X	ESL	3rd	4th	3rd	3rd	3rd	1st	2nd	2nd	2nd	13	1350	1	3	0	297
182	CityU HK	ESL	4th	3rd	4th	3rd	3rd	1st	2nd	1st	2nd	13	1325	2	2	0	271
183	Fordham A		2nd	2nd	4th	2nd	4th	1st	2nd	2nd	—	13	1201	1	5	1	307
184	Ateneo TV		3rd	4th	1st	3rd	1st	4th	2nd	2nd	4th	12	1386	2	2	0	319
185	UoC A		2nd	2nd	3rd	4th	1st	3rd	1st	4th	4th	12	1379	2	2	0	380
186	Penn B		2nd	3rd	4th	1st	4th	1st	3rd	4th	2nd	12	1378	2	2	0	354
187	Vanderbilt B		1st	4th	2nd	2nd	4th	4th	1st	3rd	3rd	12	1376	2	2	0	362
188	Strathmore A	ESL	3rd	2nd	1st	1st	4th	2nd	4th	3rd	4th	12	1375	2	2	0	387
189	DAV A	ESL, EFL	4th	1st	4th	2nd	2nd	4th	1st	3rd	3rd	12	1369	2	2	0	349
190	Middlebury CG		4th	1st	3rd	2nd	3rd	1st	3rd	3rd	4th	12	1369	2	1	0	352
191	Queensland C		4th	2nd	4th	1st	4th	1st	3rd	1st	4th	12	1367	3	1	0	331
192	Ottawa A		2nd	3rd	4th	4th	1st	3rd	1st	3rd	3rd	12	1366	2	1	0	346
193	Swarthmore A		2nd	2nd	2nd	2nd	3rd	2nd	3rd	4th	4th	12	1365	0	5	0	392
194	SMU C		3rd	3rd	2nd	1st	2nd	4th	4th	2nd	3rd	12	1364	1	3	0	342
195	CUHK A	ESL	4th	1st	2nd	4th	3rd	4th	4th	1st	1st	12	1363	3	1	0	312
196=	UT MARA D	ESL	2nd	4th	4th	2nd	2nd	3rd	1st	3rd	3rd	12	1363	1	3	0	331
196=	UOW A		4th	3rd	2nd	2nd	3rd	2nd	1st	3rd	4th	12	1363	1	3	0	336
198	Waterloo B		4th	1st	2nd	4th	2nd	2nd	4th	4th	1st	12	1362	2	3	0	343
199	MQU B		4th	1st	4th	3rd	4th	1st	4th	1st	2nd	12	1359	3	1	0	306
200	Dartmouth B		3rd	3rd	4th	2nd	2nd	1st	3rd	4th	2nd	12	1359	1	3	0	312
201	VIT A	ESL	3rd	4th	2nd	1st	1st	3rd	4th	3rd	3rd	12	1358	2	1	0	362
202	BAC C	ESL	4th	2nd	2nd	3rd	2nd	4th	4th	2nd	1st	12	1358	1	4	0	318
203	Waterloo A		4th	1st	3rd	4th	1st	3rd	4th	3rd	1st	12	1356	3	0	0	325
204	Colgate B		2nd	3rd	4th	4th	2nd	2nd	2nd	2nd	3rd	12	1354	0	5	0	313
205	Bates CN		3rd	2nd	2nd	3rd	1st	4th	4th	1st	4th	12	1352	2	2	1	365
206	VUW V1		3rd	1st	3rd	3rd	3rd	3rd	1st	4th	3rd	12	1351	2	0	0	355
207	YNC A		4th	2nd	3rd	1st	4th	3rd	2nd	2nd	3rd	12	1349	1	3	0	343
208	Wildcat 1		4th	3rd	1st	3rd	4th	2nd	4th	1st	2nd	12	1338	2	2	0	293
209	CUDS A		4th	4th	4th	2nd	1st	2nd	2nd	3rd	2nd	12	1332	1	4	0	290
210	FTU A	ESL, EFL	2nd	4th	4th	3rd	2nd	3rd	1st	3rd	2nd	12	1314	1	3	0	323
211	Bates MB		3rd	2nd	3rd	2nd	1st	3rd	4th	3rd	4th	11	1396	1	2	0	382
212	USFQ DS	ESL, EFL	3rd	2nd	1st	3rd	4th	4th	3rd	3rd	2nd	11	1391	1	2	0	359
213	Swing 1		2nd	3rd	3rd	4th	1st	4th	4th	1st	3rd	11	1372	2	1	0	324
214	FDU A	ESL	4th	3rd	3rd	3rd	1st	3rd	3rd	2nd	3rd	11	1372	1	1	0	298
215	Ilorin A 💻	ESL	3rd	3rd	2nd	3rd	2nd	3rd	3rd	4th	2nd	11	1372	0	3	0	331
216	UChicago D		2nd	4th	2nd	3rd	2nd	1st	4th	3rd	4th	11	1370	1	3	0	350
217	UCT B		3rd	2nd	4th	1st	2nd	1st	4th	4th	4th	11	1369	2	2	0	348
218	UNITEN A	ESL	4th	2nd	3rd	1st	2nd	3rd	3rd	3rd	4th	11	1368	1	2	0	354
219	VUW 2		4th	1st	4th	4th	1st	4th	2nd	2nd	3rd	11	1367	2	2	0	324
220	Warsaw A	ESL, EFL	3rd	1st	4th	4th	1st	3rd	3rd	4th	2nd	11	1366	2	1	0	327
221	Middlebury SS		4th	2nd	1st	4th	2nd	3rd	4th	3rd	2nd	11	1363	1	3	3	314
222	UGM A	ESL, EFL	4th	3rd	1st	3rd	4th	4th	1st	2nd	3rd	11	1362	2	1	0	298
223	UWODS B		3rd	3rd	2nd	4th	1st	4th	2nd	2nd	4th	11	1360	1	3	0	334
224	ADDU A	ESL	3rd	2nd	4th	2nd	2nd	3rd	2nd	4th	3rd	11	1360	0	4	0	321
225	RU 1	ESL	4th	3rd	1st	3rd	4th	1st	1st	4th	4th	11	1358	3	0	0	325
226	IIUM B	ESL	3rd	4th	1st	4th	1st	4th	1st	4th	3rd	11	1354	3	0	0	334
227	Sciences Po C	ESL	3rd	4th	1st	2nd	2nd	2nd	4th	3rd	4th	11	1350	1	3	0	360
228	Vanderbilt A		3rd	4th	4th	4th	1st	3rd	1st	4th	1st	11	1347	3	0	0	283
229	Cambridge D		4th	3rd	2nd	4th	2nd	1st	3rd	3rd	3rd	11	1347	1	2	0	318
230	Cornell C		3rd	4th	2nd	2nd	4th	4th	1st	4th	1st	11	1346	2	2	0	300
231	BFSU A	ESL, EFL	3rd	3rd	4th	4th	1st	3rd	1st	4th	2nd	11	1346	2	1	0	299
232	Sunway B	ESL	3rd	3rd	4th	3rd	2nd	3rd	3rd	3rd	1st	11	1344	1	1	0	307
233	RIC A		4th	2nd	2nd	4th	2nd	2nd	4th	1st	4th	11	1342	1	4	0	322
234	QUT A		4th	4th	1st	2nd	1st	4th	4th	4th	1st	11	1340	3	1	0	298
235	DAV B	ESL, EFL	2nd	4th	2nd	3rd	3rd	1st	4th	4th	2nd	11	1338	1	3	0	324
236	HKPU A	ESL	3rd	4th	3rd	2nd	4th	2nd	1st	3rd	3rd	11	1336	1	2	0	277
237	HKU A	ESL	3rd	3rd	4th	3rd	4th	2nd	3rd	2nd	1st	11	1333	1	2	0	278
238	DAV C	ESL, EFL	1st	4th	4th	—	3rd	2nd	1st	2nd	4th	11	1193	2	2	0	287
239	Waterloo C		3rd	3rd	1st	4th	2nd	2nd	4th	3rd	4th	10	1375	1	2	0	366
240	DUDU B		2nd	3rd	1st	4th	4th	3rd	1st	4th	4th	10	1368	2	1	0	367
241	Cornell B		3rd	1st	4th	3rd	1st	4th	4th	2nd	4th	10	1359	2	1	3	345
242	TEC CEM A	ESL, EFL	3rd	4th	4th	1st	3rd	2nd	3rd	3rd	3rd	10	1357	1	1	0	312
243	MQU C		4th	1st	4th	2nd	4th	2nd	2nd	3rd	4th	10	1356	1	3	0	328
244	NUS D		1st	3rd	3rd	3rd	4th	3rd	1st	4th	4th	10	1355	2	0	0	360
245	SUSS A		2nd	1st	4th	4th	1st	4th	3rd	4th	3rd	10	1353	2	1	0	358
246	Split A	ESL, EFL	4th	4th	3rd	1st	3rd	2nd	4th	3rd	2nd	10	1353	1	2	0	300
247	HYDS A		2nd	4th	4th	3rd	1st	3rd	3rd	4th	2nd	10	1349	1	2	0	314
248	LCC A		4th	3rd	2nd	2nd	3rd	2nd	2nd	4th	4th	10	1343	0	4	0	328
249	Alberta B		3rd	1st	4th	4th	4th	2nd	3rd	2nd	3rd	10	1341	1	2	0	311
250	RMIT A	ESL	4th	3rd	2nd	1st	4th	3rd	3rd	3rd	3rd	10	1341	1	1	0	327
251	WAD B		4th	1st	4th	3rd	3rd	2nd	4th	1st	4th	10	1335	2	1	0	320
252	UZ A 💻	ESL	4th	2nd	3rd	2nd	4th	2nd	4th	2nd	3rd	10	1330	0	4	0	296
253	Colgate C		4th	2nd	3rd	4th	4th	1st	4th	3rd	1st	10	1315	2	1	0	271
