Rk	name	category	team	R1	R2	R3	R4	R5	R6	R7	R8	Total	Avg	Stdev
147	Maya Ratner	ESL	HWS 2	75	77	74	73	70	70	—	—	439	73.17	2.54
148	Speaker F		Swing set	72	73	73	70	70	74	—	—	432	72.00	1.53
149	Speaker E		Swing set	74	74	74	56	70	75	—	—	423	70.50	6.68
150	Andrew Barsky		HWS 2	75	—	75	73	74	71	—	—	368	73.60	1.50
151	Amalia Schneider	Novice	Cornell 5	76	74	73	76	—	—	—	—	299	74.75	1.30
152	Edwin Palacios	Novice	Cornell 5	74	72	72	74	—	—	—	—	292	73.00	1.00
153=	Speaker C		Swing dance	—	—	—	—	71	74	—	—	145	72.50	1.50
153=	Speaker D		Swing dance	—	—	—	—	71	74	—	—	145	72.50	1.50
155=	Speaker A		Swing a bat	—	—	—	—	—	—	—	—	—	—	—
155=	Speaker B		Swing a bat	—	—	—	—	—	—	—	—	—	—	—
155=	Emmanuel Murphy		WM 1	—	—	—	—	—	—	—	—	—	—	—
155=	Bartholomew Kaminski		WM 1	—	—	—	—	—	—	—	—	—	—	—
