team	institution	result	side	ballot	adjudicators
Old Monk x Ice Burst	—	2nd	Opening Government	View Ballot	Therese GenotaⒸ , Yash Phadke
Osaka A	OU	3rd	Opening Opposition	View Ballot	Therese GenotaⒸ , Yash Phadke
Dudh si safedi nirma se aaye	VIT	1st	Closing Government	View Ballot	Therese GenotaⒸ , Yash Phadke
It’s 4 AM at 107	—	4th	Closing Opposition	View Ballot	Therese GenotaⒸ , Yash Phadke
Hope-less	CUB	2nd	Opening Government	View Ballot	Sam UnabiaⒸ , Rajyawardhan Singh
Grand Theft Auto	GNLU	4th	Opening Opposition	View Ballot	Sam UnabiaⒸ , Rajyawardhan Singh
Paid Churro	UPD	1st	Closing Government	View Ballot	Sam UnabiaⒸ , Rajyawardhan Singh
I&#x27;m not asleep my mind is alive	GLCM	3rd	Closing Opposition	View Ballot	Sam UnabiaⒸ , Rajyawardhan Singh
NLS Grr	NLSIU	4th	Opening Government	View Ballot	Kritadnya KalingⒸ , ANGAD MATHARU , Priya Shukla
NUJS	NUJS	3rd	Opening Opposition	View Ballot	Kritadnya KalingⒸ , ANGAD MATHARU , Priya Shukla
Comeback ng mga anti-man na kalahok	DLSU SHS	1st	Closing Government	View Ballot	Kritadnya KalingⒸ , ANGAD MATHARU , Priya Shukla
Dumb and Dumber	BITSG	2nd	Closing Opposition	View Ballot	Kritadnya KalingⒸ , ANGAD MATHARU , Priya Shukla
Swing 1	—	4th	Opening Government	View Ballot	Vinayak MalhotraⒸ , Ron Simon Lomibao
Kheech Lenge	NLIUB	2nd	Opening Opposition	View Ballot	Vinayak MalhotraⒸ , Ron Simon Lomibao
MUST delay know more	MUST	3rd	Closing Government	View Ballot	Vinayak MalhotraⒸ , Ron Simon Lomibao
PATIENT ZERO	RCL	1st	Closing Opposition	View Ballot	Vinayak MalhotraⒸ , Ron Simon Lomibao
TRUE	SLSP	3rd	Opening Government	View Ballot	Keshav MalikⒸ , Abhirath MSⓉ
Ninnn…	RCL	2nd	Opening Opposition	View Ballot	Keshav MalikⒸ , Abhirath MSⓉ
Marx-less Marksheet	SXCK	1st	Closing Government	View Ballot	Keshav MalikⒸ , Abhirath MSⓉ
Getting rekt	—	4th	Closing Opposition	View Ballot	Keshav MalikⒸ , Abhirath MSⓉ
Last Minute	RVCE	2nd	Opening Government	View Ballot	Aditi SinghalⒸ , Shreya Sahi , Surabhi Suresh
Trained by Michael scott	DNLU	4th	Opening Opposition	View Ballot	Aditi SinghalⒸ , Shreya Sahi , Surabhi Suresh
RVCE A	RVCE	1st	Closing Government	View Ballot	Aditi SinghalⒸ , Shreya Sahi , Surabhi Suresh
Panel Pleasers	MCDU	3rd	Closing Opposition	View Ballot	Aditi SinghalⒸ , Shreya Sahi , Surabhi Suresh
That&#x27;s Irrelephant	RCL	3rd	Opening Government	View Ballot	Frank BannermanⒸ , Cici Liu , Tejas Baviskar
The Knights	JGU	2nd	Opening Opposition	View Ballot	Frank BannermanⒸ , Cici Liu , Tejas Baviskar
Vikings	—	4th	Closing Government	View Ballot	Frank BannermanⒸ , Cici Liu , Tejas Baviskar
Ying and Yang	NUL	1st	Closing Opposition	View Ballot	Frank BannermanⒸ , Cici Liu , Tejas Baviskar
Crispy dosa	GLCM	4th	Opening Government	View Ballot	Hishah KhalishahⒸ , Acharaj Kaur Tuteja , Anusha Jain
XLRI Xlerate	XLRIJ	3rd	Opening Opposition	View Ballot	Hishah KhalishahⒸ , Acharaj Kaur Tuteja , Anusha Jain
Don&#x27;t.	NLSIU	2nd	Closing Government	View Ballot	Hishah KhalishahⒸ , Acharaj Kaur Tuteja , Anusha Jain
Jugadu Debaters	GC	1st	Closing Opposition	View Ballot	Hishah KhalishahⒸ , Acharaj Kaur Tuteja , Anusha Jain
Swing 4	—	4th	Opening Government	View Ballot	Abhirup MannaⒸ , Aryennh Kulkarni , Meghana Srinivas
Kerwa Kings 👑	NLIUB	2nd	Opening Opposition	View Ballot	Abhirup MannaⒸ , Aryennh Kulkarni , Meghana Srinivas
Darles Chickens	MCDU	1st	Closing Government	View Ballot	Abhirup MannaⒸ , Aryennh Kulkarni , Meghana Srinivas
Masala Dosa	PESU	3rd	Closing Opposition	View Ballot	Abhirup MannaⒸ , Aryennh Kulkarni , Meghana Srinivas
BP is the because	SXCK	2nd	Opening Government	View Ballot	Chu Đức AnⒸ , Ayush Kanaujia , Vikrant PandeyⓉ
ronbingchillin	DLSU SHS	3rd	Opening Opposition	View Ballot	Chu Đức AnⒸ , Ayush Kanaujia , Vikrant PandeyⓉ
IIT B	IITB	1st	Closing Government	View Ballot	Chu Đức AnⒸ , Ayush Kanaujia , Vikrant PandeyⓉ
XLRI - GGMU	XLRIJ	4th	Closing Opposition	View Ballot	Chu Đức AnⒸ , Ayush Kanaujia , Vikrant PandeyⓉ
Swing 6	—	4th	Opening Opposition	View Ballot	Gautam ChauhanⒸ
We hate debating	UPES	1st	Closing Government	View Ballot	Gautam ChauhanⒸ
Chicken wings	RCL	2nd	Closing Opposition	View Ballot	Gautam ChauhanⒸ
Swing 5	—	3rd	Opening Government	View Ballot	Gautam ChauhanⒸ
Current Status Quo	—	1st	Opening Opposition	View Ballot	Prosper Michael AmetuⒸ , Pushpit Singh , Sakshi Kasala
RVCE C	RVCE	4th	Closing Government	View Ballot	Prosper Michael AmetuⒸ , Pushpit Singh , Sakshi Kasala
Break(down)	IPCW	3rd	Closing Opposition	View Ballot	Prosper Michael AmetuⒸ , Pushpit Singh , Sakshi Kasala
Nicotine 2.0	JGU	4th	Opening Government	View Ballot	Akshatha SabajiⒸ , Souritri Santra
We’re mostly adjes if we don’t brea	—	2nd	Opening Government	View Ballot	Prosper Michael AmetuⒸ , Pushpit Singh , Sakshi Kasala
Kannis Film Festival	GNLU	1st	Opening Opposition	View Ballot	Akshatha SabajiⒸ , Souritri Santra
Drop ur letterboxd	SLSP	3rd	Closing Government	View Ballot	Akshatha SabajiⒸ , Souritri Santra
Indecisive ambassadors	—	2nd	Closing Opposition	View Ballot	Akshatha SabajiⒸ , Souritri Santra
Pados ki auntiyan	MNLU	3rd	Opening Government	View Ballot	Chahana CharlesⒸ , Parshav Jain , Priyal Nanda
Swing 3	—	4th	Opening Opposition	View Ballot	Chahana CharlesⒸ , Parshav Jain , Priyal Nanda
The Cockroaches	NLSIU	1st	Closing Government	View Ballot	Chahana CharlesⒸ , Parshav Jain , Priyal Nanda
RVCE E	RVCE	2nd	Closing Opposition	View Ballot	Chahana CharlesⒸ , Parshav Jain , Priyal Nanda
Chandraywan-Aachar samporn soch vic	—	2nd	Opening Government	View Ballot	Keerthivasan SⒸ , Shruti , Virendra Pratap Singh Rathod
Eto Chudurbudur Ken ?	—	4th	Opening Opposition	View Ballot	Keerthivasan SⒸ , Shruti , Virendra Pratap Singh Rathod
Stanford AS	SU	1st	Closing Government	View Ballot	Keerthivasan SⒸ , Shruti , Virendra Pratap Singh Rathod
MH	MHUD	3rd	Closing Opposition	View Ballot	Keerthivasan SⒸ , Shruti , Virendra Pratap Singh Rathod
Swing 2	—	3rd	Opening Government	View Ballot	Mahanth P AⒸ
Rangeen kapda bhi kheel kheel jaye	VIT	2nd	Opening Opposition	View Ballot	Mahanth P AⒸ
oh please	—	1st	Closing Government	View Ballot	Mahanth P AⒸ
Debate Nerds	GLCM	4th	Closing Opposition	View Ballot	Mahanth P AⒸ
