Rk	name	category	team	R1	R2	R3	R4	R5	R6	R7	R8	R9	Total	Avg	Stdev	Num
21=	Speaker 1		Cambridge A	79	79	84	83	85	81	82	82	81	736	81.78	1.93	9
21=	Trenton Sewell		Cambridge A	79	80	84	84	83	82	82	82	80	736	81.78	1.69	9
21=	Janko Djordjevic	ESL	Belgrade A	82	80	81	84	83	85	81	82	78	736	81.78	1.99	9
21=	Kit Mercer		Oxford B	82	78	84	83	82	84	80	83	80	736	81.78	1.93	9
25=	Geneva Roy		Oxford C	80	84	81	82	82	83	79	83	81	735	81.67	1.49	9
25=	Stuart Dixon		Melbourne A	83	79	85	78	81	81	81	82	85	735	81.67	2.26	9
25=	Speaker 1		Melbourne A	83	80	85	80	80	80	81	81	85	735	81.67	2.00	9
25=	Udai Kamath		Macquarie A	83	80	81	83	86	77	81	84	80	735	81.67	2.49	9
25=	Edward Bracey		Harvard B	80	77	82	83	80	82	82	85	84	735	81.67	2.26	9
30=	Speaker 1		Sydney B	83	80	79	80	82	84	79	86	80	733	81.44	2.31	9
30=	Tejal Patwardhan		Harvard B	79	78	81	83	81	81	83	84	83	733	81.44	1.89	9
30=	Mohammed Wasif Amin Khan	ESL	IBA Dhaka B	81	79	84	85	80	80	81	81	82	733	81.44	1.83	9
30=	Sher May Nar		NUS A	82	79	80	83	82	78	82	83	84	733	81.44	1.89	9
34=	Dhananjay Ashok		Hart House C	81	81	79	83	77	79	85	82	84	731	81.22	2.44	9
34=	Arthur Lee		Stanford B	77	83	79	83	82	80	84	81	82	731	81.22	2.10	9
34=	Joona Suhonen	ESL	Helsinki A	80	82	78	85	81	81	79	83	82	731	81.22	1.99	9
37=	Robert Barrie		Macquarie A	82	78	80	82	83	79	82	85	79	730	81.11	2.13	9
37=	Grace Belworthy		Otago A	79	81	78	82	84	82	83	81	80	730	81.11	1.79	9
37=	Chaitanya Kediyal		Oxford D	81	80	79	82	80	84	83	78	83	730	81.11	1.91	9
37=	Ignacio Villareal		Ateneo A	82	81	80	77	81	84	82	81	82	730	81.11	1.79	9
37=	Mikko Vitug		Ateneo A	82	80	80	77	82	83	82	82	82	730	81.11	1.73	9
37=	Sajid Khandaker	ESL	IBA Dhaka A	77	77	85	81	78	83	82	82	85	730	81.11	2.96	9
37=	Kazi Ashfaq Huq	ESL	IBA Dhaka B	81	80	82	85	79	79	80	83	81	730	81.11	1.85	9
44	Daniel Maier-Gant		Auckland A	79	82	83	82	80	84	81	78	80	729	81.00	1.83	9
45	Eva-Marie Quinones		Yale E	78	81	83	76	80	84	81	83	82	728	80.89	2.42	9
46=	Liliana Tai		Sydney D	77	75	81	82	82	82	82	84	82	727	80.78	2.70	9
46=	Aisling Tully		UC Dublin L&amp;H A	80	78	79	82	79	78	83	84	84	727	80.78	2.35	9
46=	Gaeun Kim		Stanford C	78	81	81	78	79	82	82	82	84	727	80.78	1.93	9
49=	Ella Finlay		Sydney D	78	74	82	81	83	83	82	83	80	726	80.67	2.83	9
49=	Andrea D&#x27;Souza		LSE C	82	78	78	79	82	81	81	83	82	726	80.67	1.76	9
49=	Ioannis Karellis		Durham A	77	81	81	82	84	80	78	80	83	726	80.67	2.11	9
52=	Robyn Lawrence		Glasgow A	81	82	78	80	85	81	78	80	80	725	80.56	2.01	9
52=	Aishling Kinsella		UC Dublin L&amp;H A	79	77	79	81	80	78	84	84	83	725	80.56	2.45	9
52=	Ploopy	ESL	Taylor&#x27;s B	79	78	82	82	82	84	80	85	73	725	80.56	3.40	9
52=	Milla Huuskonen	ESL	Helsinki A	80	81	78	84	80	81	78	82	81	725	80.56	1.77	9
