Rk	team	categories	R1	R2	R3	R4	R5	R6	R7	R8	R9	Pts	Spk	1sts	2nds
31	Otago A		1st	1st	3rd	1st	1st	3rd	2nd	3rd	3rd	18	1454	4	1
32	Stanford C		2nd	1st	3rd	4th	1st	2nd	1st	2nd	2nd	18	1448	3	4
33	Bristol A		1st	1st	4th	1st	1st	2nd	4th	3rd	1st	18	1443	5	1
34	Vic Wellington A		1st	1st	4th	1st	3rd	2nd	2nd	3rd	1st	18	1443	4	2
35	Symbiosis A	ESL	2nd	3rd	2nd	1st	1st	3rd	3rd	1st	2nd	18	1434	3	3
36	McGill B		2nd	2nd	3rd	1st	2nd	2nd	2nd	1st	3rd	18	1433	2	5
37	Sydney F		1st	2nd	1st	3rd	2nd	4th	1st	1st	3rd	18	1432	4	2
38	HKU A		2nd	1st	1st	3rd	4th	4th	1st	1st	1st	18	1429	5	1
39	Princeton C		2nd	1st	2nd	4th	2nd	2nd	2nd	2nd	1st	18	1421	2	6
40	Taylor&#x27;s A	ESL	2nd	3rd	2nd	1st	4th	1st	3rd	1st	1st	18	1419	4	2
41	Northeastern USA A		3rd	3rd	2nd	3rd	1st	1st	2nd	1st	2nd	18	1415	3	3
42	ANU C		2nd	1st	4th	4th	3rd	1st	1st	1st	1st	18	1409	5	1
43	Belgrade A	ESL	1st	3rd	2nd	1st	1st	1st	3rd	3rd	4th	17	1475	4	1
44	Macquarie A		1st	1st	2nd	2nd	2nd	4th	1st	2nd	4th	17	1465	3	4
45	Stanford B		1st	1st	3rd	1st	1st	4th	1st	4th	3rd	17	1453	5	0
46	Taylor&#x27;s B	ESL	2nd	3rd	1st	2nd	1st	1st	3rd	2nd	4th	17	1446	3	3
47	LSE C		1st	4th	2nd	1st	2nd	1st	2nd	2nd	4th	17	1444	3	4
48	Princeton D		1st	1st	3rd	2nd	2nd	3rd	2nd	4th	1st	17	1442	3	3
49	Pennsylvania A		1st	1st	4th	1st	3rd	1st	3rd	4th	1st	17	1440	5	0
50	Christ A		2nd	2nd	1st	1st	3rd	4th	3rd	1st	2nd	17	1435	3	3
51	Hart House A		2nd	1st	4th	2nd	1st	2nd	2nd	3rd	2nd	17	1435	2	5
52	Princeton B		3rd	1st	2nd	3rd	1st	1st	4th	3rd	1st	17	1434	4	1
53	ANU B		1st	2nd	2nd	1st	4th	3rd	1st	4th	1st	17	1431	4	2
54=	Harvard D		2nd	1st	3rd	1st	1st	4th	3rd	3rd	1st	17	1428	4	1
54=	Queensland A		1st	3rd	1st	1st	4th	3rd	1st	3rd	2nd	17	1428	4	1
56	Harvard C		2nd	2nd	1st	4th	2nd	3rd	1st	1st	3rd	17	1427	3	3
57	Hopkins A		1st	2nd	2nd	3rd	2nd	3rd	3rd	1st	2nd	17	1427	2	4
58	LSE B		1st	3rd	2nd	2nd	2nd	4th	3rd	1st	1st	17	1426	3	3
59	Chicago A		3rd	1st	4th	1st	1st	2nd	2nd	2nd	3rd	17	1425	3	3
60	SMU A		1st	3rd	2nd	3rd	2nd	3rd	1st	3rd	1st	17	1425	3	2
61	TCD Hist A		4th	1st	1st	3rd	2nd	2nd	1st	2nd	3rd	17	1417	3	3
62	Cape Town A		1st	3rd	1st	4th	3rd	2nd	2nd	2nd	1st	17	1408	3	3
63	Belgrade B	ESL, EFL	2nd	3rd	2nd	2nd	2nd	2nd	3rd	2nd	1st	17	1405	1	6
64	Solbridge A	ESL	2nd	2nd	2nd	3rd	2nd	1st	4th	1st	2nd	17	1403	2	5
65	Malaya A	ESL	2nd	4th	1st	2nd	2nd	3rd	1st	1st	3rd	17	1399	3	3
66	IIUM A	ESL	2nd	4th	2nd	2nd	1st	2nd	3rd	1st	2nd	17	1387	2	5
67	Wollongong A		1st	3rd	4th	1st	4th	1st	2nd	1st	2nd	17	1384	4	2
68	Princeton A		1st	1st	1st	3rd	2nd	3rd	2nd	4th	3rd	16	1462	3	2
69	Auckland A		1st	1st	2nd	4th	1st	1st	3rd	4th	3rd	16	1453	4	1
70	Glasgow A		1st	2nd	2nd	2nd	1st	3rd	3rd	2nd	4th	16	1444	2	4
71	Berlin A		1st	3rd	1st	2nd	3rd	1st	3rd	3rd	3rd	16	1442	3	1
72	Auckland B		1st	4th	1st	1st	3rd	2nd	1st	3rd	4th	16	1439	4	1
73	Sydney C		3rd	1st	1st	1st	1st	4th	4th	3rd	2nd	16	1437	4	1
74	Hart House B		1st	1st	2nd	2nd	3rd	4th	2nd	4th	1st	16	1435	3	3
75	Yale B		2nd	1st	2nd	4th	2nd	2nd	2nd	2nd	3rd	16	1435	1	6
76	Duke A		2nd	1st	1st	4th	3rd	2nd	1st	4th	2nd	16	1432	3	3
77	Kwame Nkrumah B	ESL	4th	2nd	1st	2nd	1st	1st	3rd	3rd	3rd	16	1430	3	2
78	Swarthmore A		1st	3rd	2nd	3rd	3rd	2nd	2nd	3rd	1st	16	1420	2	3
79	North South A	ESL	1st	2nd	4th	4th	1st	2nd	1st	4th	1st	16	1419	4	2
80	UT Sydney A		3rd	1st	4th	1st	1st	4th	1st	2nd	3rd	16	1417	4	1
81	TCD Hist B		1st	4th	1st	2nd	1st	3rd	3rd	2nd	3rd	16	1416	3	2
82	New South Wales A		1st	4th	2nd	1st	1st	1st	4th	2nd	4th	16	1414	4	2
83	TCD Phil B		1st	4th	3rd	2nd	1st	1st	2nd	2nd	4th	16	1413	3	3
84	Monash Australia A		3rd	2nd	2nd	1st	4th	1st	3rd	3rd	1st	16	1413	3	2
85	Witwatersrand A	ESL	4th	4th	1st	1st	1st	1st	4th	2nd	2nd	16	1411	4	2
86	Korea A	ESL	1st	2nd	1st	3rd	4th	4th	1st	2nd	2nd	16	1411	3	3
87	Tel Aviv B	ESL	2nd	1st	3rd	1st	2nd	2nd	1st	4th	4th	16	1409	3	3
88	UT MARA B	ESL	1st	4th	2nd	4th	1st	3rd	2nd	1st	2nd	16	1405	3	3
89	Berlin C	ESL	3rd	3rd	1st	1st	2nd	2nd	2nd	4th	2nd	16	1402	2	4
90	Monash Australia B		1st	4th	2nd	1st	1st	4th	1st	3rd	3rd	16	1400	4	1
91	ICU A	ESL	2nd	1st	4th	3rd	2nd	3rd	2nd	1st	2nd	16	1398	2	4
92	IIT Bombay A		3rd	1st	2nd	2nd	3rd	2nd	2nd	4th	1st	16	1396	2	4
93	British Columbia A		3rd	2nd	2nd	1st	4th	4th	1st	1st	2nd	16	1394	3	3
94	Tel Aviv C	ESL	2nd	1st	4th	1st	4th	2nd	3rd	1st	2nd	16	1392	3	3
95	UT MARA A	ESL	3rd	2nd	4th	1st	2nd	4th	1st	2nd	1st	16	1388	3	3
96	Symbiosis B		2nd	3rd	1st	2nd	2nd	4th	3rd	2nd	1st	16	1388	2	4
97	Duke C		3rd	3rd	2nd	2nd	2nd	3rd	1st	2nd	2nd	16	1383	1	5
98	Chinese UHK A		3rd	3rd	1st	1st	4th	1st	2nd	4th	1st	16	1376	4	1
99	Waterloo A		2nd	4th	1st	4th	1st	3rd	3rd	1st	1st	16	1369	4	1
100	Stanford D		1st	1st	4th	3rd	1st	3rd	2nd	2nd	4th	15	1437	3	2
101	Cambridge B		2nd	2nd	1st	3rd	1st	2nd	2nd	4th	4th	15	1431	2	4
102	Melbourne B		2nd	1st	2nd	3rd	1st	4th	3rd	4th	1st	15	1422	3	2
103	UDIMA A	ESL	2nd	1st	2nd	3rd	4th	2nd	1st	2nd	4th	15	1422	2	4
104	Rosario A	ESL, EFL	2nd	2nd	1st	2nd	2nd	3rd	4th	4th	1st	15	1416	2	4
105	Alberta B		2nd	1st	3rd	4th	2nd	2nd	2nd	1st	4th	15	1414	2	4
106	Durham B		2nd	3rd	4th	1st	4th	1st	2nd	1st	3rd	15	1413	3	2
107	Queen&#x27;s A		2nd	1st	2nd	3rd	3rd	1st	3rd	2nd	4th	15	1411	2	3
108	Seoul B	ESL	1st	3rd	4th	2nd	1st	2nd	3rd	4th	1st	15	1407	3	2
109	Auckland C		1st	2nd	3rd	2nd	3rd	3rd	4th	2nd	1st	15	1406	2	3
110	IT Bandung A	ESL, EFL	1st	4th	3rd	3rd	1st	2nd	2nd	2nd	3rd	15	1403	2	3
111	West Bengal A	ESL	1st	3rd	3rd	3rd	4th	2nd	1st	1st	3rd	15	1402	3	1
112	RVCE B		3rd	1st	2nd	4th	2nd	1st	4th	1st	3rd	15	1401	3	2
113	HWS A		3rd	1st	3rd	3rd	3rd	1st	2nd	3rd	2nd	15	1401	2	2
114	Jagiellonian A	ESL, EFL	2nd	3rd	2nd	3rd	1st	1st	4th	3rd	2nd	15	1397	2	3
115	Brown A		2nd	3rd	4th	3rd	1st	2nd	3rd	1st	2nd	15	1395	2	3
116=	Seoul A		2nd	4th	1st	3rd	1st	4th	1st	4th	1st	15	1394	4	1
116=	Swarthmore B		1st	4th	1st	4th	2nd	1st	4th	1st	3rd	15	1394	4	1
118	Cambridge C	ESL	1st	4th	1st	4th	4th	1st	4th	1st	1st	15	1388	5	0
119	De La Salle B		3rd	2nd	1st	4th	2nd	1st	2nd	3rd	3rd	15	1388	2	3
120	Wollongong B		3rd	4th	2nd	2nd	2nd	3rd	2nd	2nd	1st	15	1388	1	5
121	Vienna B	ESL	3rd	1st	1st	4th	1st	3rd	4th	2nd	2nd	15	1386	3	2
122	Brandeis A		2nd	3rd	4th	1st	1st	4th	4th	1st	1st	15	1385	4	1
123	TEC CEM A	ESL, EFL	3rd	3rd	1st	3rd	1st	2nd	2nd	2nd	4th	15	1385	2	3
124	William &amp; Mary A		2nd	4th	2nd	1st	4th	1st	4th	1st	2nd	15	1383	3	3
125	Rochester A		4th	3rd	1st	1st	2nd	3rd	4th	1st	2nd	15	1382	3	2
126	Berkeley A		2nd	4th	3rd	1st	1st	3rd	2nd	2nd	3rd	15	1381	2	3
127	Denver A		4th	1st	1st	4th	2nd	3rd	3rd	1st	2nd	15	1380	3	2
128	Lahore Management A	ESL	1st	4th	1st	3rd	1st	2nd	4th	4th	1st	15	1378	4	1
129	Tokyo A		3rd	2nd	3rd	2nd	1st	1st	4th	1st	4th	15	1376	3	2
130	Queen&#x27;s B		2nd	3rd	4th	1st	1st	4th	1st	2nd	3rd	15	1375	3	2
131	Brandeis B		4th	3rd	2nd	3rd	1st	1st	2nd	4th	1st	15	1374	3	2
132	Airlangga A	ESL, EFL	3rd	3rd	3rd	3rd	4th	1st	1st	2nd	1st	15	1364	3	1
133	Nanyang A		2nd	2nd	4th	3rd	4th	1st	2nd	2nd	1st	15	1363	2	4
134	Ghana A	ESL	3rd	3rd	2nd	4th	1st	3rd	1st	2nd	2nd	15	1363	2	3
135	Tufts A		1st	1st	4th	2nd	2nd	1st	4th	4th	3rd	14	1418	3	2
136	De La Salle A		2nd	2nd	1st	1st	3rd	4th	4th	2nd	3rd	14	1416	2	3
137	Alberta A		2nd	1st	3rd	1st	3rd	1st	4th	3rd	4th	14	1409	3	1
138	Queensland B		1st	2nd	3rd	3rd	2nd	4th	1st	2nd	4th	14	1407	2	3
139	Jeans	ESL	2nd	3rd	4th	4th	2nd	1st	2nd	1st	3rd	14	1402	2	3
140	SMU B		1st	2nd	4th	2nd	1st	3rd	1st	4th	4th	14	1401	3	2
141	MGIMO A	ESL	1st	4th	3rd	1st	2nd	4th	4th	1st	2nd	14	1398	3	2
142	Amsterdam A	ESL	1st	4th	1st	3rd	3rd	4th	1st	2nd	3rd	14	1396	3	1
143	Bates B		1st	3rd	2nd	3rd	2nd	1st	3rd	3rd	4th	14	1396	2	2
144	Chicago B		3rd	1st	3rd	1st	4th	1st	4th	3rd	2nd	14	1395	3	1
145	Streitkultur A	ESL	2nd	2nd	4th	3rd	3rd	1st	1st	3rd	3rd	14	1394	2	2
146	York B		1st	3rd	3rd	4th	1st	1st	4th	1st	4th	14	1393	4	0
147	NUST A	ESL	3rd	2nd	3rd	3rd	1st	4th	1st	4th	1st	14	1391	3	1
148	Ljubljana A	ESL	1st	2nd	3rd	3rd	4th	3rd	2nd	2nd	2nd	14	1391	1	4
149	Lahore Management B	ESL	3rd	2nd	2nd	1st	2nd	4th	3rd	3rd	2nd	14	1389	1	4
150	NYU Abu Dhabi A		3rd	1st	3rd	2nd	4th	2nd	3rd	1st	3rd	14	1388	2	2
151	Monash Malaysia A	ESL	1st	3rd	4th	1st	1st	4th	3rd	4th	1st	14	1387	4	0
152=	BRAC A	ESL	2nd	3rd	3rd	4th	1st	2nd	1st	2nd	4th	14	1387	2	3
152=	Brown B		1st	2nd	3rd	4th	3rd	2nd	2nd	1st	4th	14	1387	2	3
154	Macau B	ESL, EFL	1st	3rd	3rd	2nd	3rd	3rd	4th	2nd	1st	14	1387	2	2
155	Duke B		4th	2nd	1st	2nd	3rd	2nd	3rd	3rd	2nd	14	1386	1	4
156	Alberta C		2nd	2nd	4th	1st	2nd	3rd	2nd	4th	2nd	14	1384	1	5
157	Vellore A	ESL	3rd	3rd	1st	2nd	3rd	3rd	2nd	4th	1st	14	1383	2	2
158	Western Ontario B		3rd	1st	3rd	3rd	3rd	1st	4th	3rd	1st	14	1382	3	0
159	Bates C		4th	2nd	1st	3rd	2nd	1st	3rd	4th	2nd	14	1379	2	3
160	Kyushu B	ESL, EFL	2nd	3rd	3rd	1st	4th	2nd	3rd	3rd	1st	14	1379	2	2
161	Indonesia A	ESL, EFL	2nd	2nd	2nd	2nd	4th	1st	4th	2nd	3rd	14	1377	1	5
162	Cornell B		3rd	1st	3rd	2nd	2nd	3rd	4th	2nd	2nd	14	1376	1	4
163	La Verne B		2nd	4th	2nd	4th	2nd	1st	4th	1st	2nd	14	1375	2	4
164	Bristol B		4th	3rd	2nd	1st	3rd	1st	4th	1st	3rd	14	1373	3	1
165	Sheffield A		1st	3rd	4th	4th	2nd	2nd	3rd	2nd	1st	14	1372	2	3
166	Malaya B	ESL	3rd	2nd	2nd	3rd	3rd	3rd	2nd	2nd	2nd	14	1368	0	5
167	Padjadjaran A	ESL, EFL	2nd	4th	4th	4th	1st	1st	1st	1st	4th	14	1367	4	1
168	Stellenbosch A		4th	2nd	3rd	2nd	3rd	2nd	1st	4th	1st	14	1367	2	3
169	Tribhuvan A	ESL, EFL	4th	2nd	1st	2nd	4th	3rd	4th	1st	1st	14	1366	3	2
170	Carleton A		4th	1st	2nd	3rd	1st	4th	1st	4th	2nd	14	1364	3	2
171	Blowing	ESL, EFL	4th	2nd	3rd	1st	3rd	3rd	1st	3rd	2nd	14	1363	2	2
172	West Indies A		2nd	3rd	3rd	1st	3rd	3rd	3rd	3rd	1st	14	1363	2	1
173	SUFE A	ESL, EFL	3rd	2nd	3rd	3rd	4th	1st	1st	3rd	2nd	14	1361	2	2
174	Clemson B		3rd	2nd	2nd	3rd	1st	1st	3rd	3rd	4th	14	1360	2	2
175	Hamburger	ESL, EFL	3rd	4th	2nd	2nd	2nd	1st	1st	4th	3rd	14	1357	2	3
176	Surabaya A	ESL, EFL	2nd	4th	3rd	3rd	3rd	2nd	1st	1st	3rd	14	1357	2	2
177	Stanford E		1st	4th	1st	2nd	3rd	2nd	3rd	3rd	4th	13	1400	2	2
178	Columbia B		1st	2nd	1st	4th	2nd	4th	3rd	2nd	4th	13	1397	2	3
179	Bard A		2nd	2nd	1st	2nd	3rd	3rd	4th	3rd	3rd	13	1397	1	3
180	Vienna A	ESL	1st	2nd	1st	2nd	2nd	4th	4th	3rd	4th	13	1395	2	3
181	Chicago D		2nd	2nd	3rd	3rd	2nd	3rd	4th	1st	3rd	13	1395	1	3
182	Edinburgh A		1st	2nd	4th	1st	1st	3rd	4th	4th	3rd	13	1393	3	1
183	Cornell A		2nd	2nd	4th	1st	3rd	2nd	1st	4th	4th	13	1391	2	3
184	Keio A	ESL	3rd	1st	3rd	4th	2nd	4th	1st	1st	4th	13	1388	3	1
185	Cape Town B		2nd	2nd	3rd	2nd	4th	2nd	3rd	4th	1st	13	1388	1	4
186	Western Ontario A		2nd	3rd	3rd	2nd	1st	3rd	2nd	4th	3rd	13	1388	1	3
187	North South B		3rd	1st	2nd	2nd	4th	3rd	4th	2nd	2nd	13	1387	1	4
188	Chicago C		2nd	4th	2nd	1st	3rd	2nd	3rd	3rd	3rd	13	1387	1	3
189	NUS B		1st	3rd	4th	3rd	2nd	1st	4th	4th	1st	13	1385	3	1
190	Laval A	ESL	3rd	2nd	2nd	2nd	4th	3rd	3rd	1st	3rd	13	1379	1	3
191	Korea B	ESL	2nd	4th	1st	3rd	2nd	4th	1st	2nd	4th	13	1378	2	3
192	Vienna C	ESL	3rd	4th	1st	3rd	3rd	4th	3rd	1st	1st	13	1377	3	0
193	Solbridge C	ESL, EFL	3rd	2nd	2nd	3rd	3rd	2nd	3rd	2nd	3rd	13	1376	0	4
194	IIUM C	ESL	3rd	4th	2nd	4th	1st	1st	1st	3rd	4th	13	1375	3	1
195	Denver B		2nd	4th	3rd	2nd	1st	3rd	4th	3rd	1st	13	1374	2	2
196	Bates A		3rd	1st	3rd	4th	4th	2nd	2nd	2nd	2nd	13	1373	1	4
197	BRAC B	ESL	4th	1st	3rd	3rd	2nd	2nd	2nd	3rd	3rd	13	1372	1	3
198	Colgate B		1st	2nd	4th	3rd	4th	3rd	3rd	1st	2nd	13	1371	2	2
199=	McGill C		3rd	1st	4th	1st	4th	2nd	4th	1st	3rd	13	1370	3	1
199=	Tel Aviv A	ESL	2nd	3rd	3rd	4th	1st	4th	1st	1st	4th	13	1370	3	1
201	Vermont A		3rd	2nd	3rd	2nd	2nd	4th	3rd	3rd	1st	13	1370	1	3
202	Comillas A	ESL	2nd	4th	2nd	2nd	4th	4th	1st	3rd	1st	13	1364	2	3
203	Astana A	ESL, EFL	2nd	3rd	4th	4th	2nd	2nd	2nd	3rd	1st	13	1363	1	4
204	Guitar	ESL	3rd	1st	1st	4th	3rd	4th	2nd	4th	1st	13	1361	3	1
205	Seoul C	ESL	1st	4th	3rd	4th	1st	2nd	2nd	2nd	4th	13	1361	2	3
206	Ewha A		3rd	4th	3rd	1st	2nd	1st	4th	3rd	2nd	13	1359	2	2
207	Rosario B	ESL, EFL	3rd	2nd	2nd	4th	3rd	1st	2nd	4th	2nd	13	1356	1	4
208	North South C	ESL	4th	1st	1st	4th	4th	3rd	1st	2nd	3rd	13	1355	3	1
209	Wheaton A		1st	4th	4th	2nd	3rd	2nd	3rd	2nd	2nd	13	1355	1	4
210	Kwame Nkrumah A	ESL	4th	3rd	3rd	1st	4th	3rd	1st	2nd	2nd	13	1353	2	2
211	Kyoto A	ESL, EFL	4th	2nd	4th	1st	2nd	3rd	1st	2nd	4th	13	1352	2	3
212	Sciences Po A	ESL	3rd	4th	1st	2nd	4th	3rd	3rd	2nd	1st	13	1351	2	2
213	Osaka A	ESL	2nd	2nd	4th	4th	2nd	4th	1st	1st	3rd	13	1350	2	3
214	Chulalongkorn A	ESL, EFL	4th	1st	4th	1st	4th	2nd	2nd	3rd	2nd	13	1345	2	3
215	Fulbright Vietnam A	ESL	4th	2nd	3rd	4th	2nd	4th	1st	1st	2nd	13	1344	2	3
216	TCD Phil A		2nd	1st	2nd	3rd	3rd	4th	2nd	4th	3rd	12	1401	1	3
217	Free State A	ESL	2nd	3rd	1st	4th	4th	4th	2nd	1st	3rd	12	1400	2	2
218	George Washington A		4th	3rd	1st	2nd	1st	4th	3rd	2nd	4th	12	1390	2	2
219	Gadjah Mada A	ESL, EFL	2nd	1st	4th	3rd	3rd	1st	3rd	3rd	4th	12	1387	2	1
220	Clemson C		2nd	2nd	1st	3rd	3rd	4th	3rd	3rd	3rd	12	1382	1	2
221	Melbourne C		2nd	2nd	4th	1st	4th	4th	4th	1st	2nd	12	1381	2	3
222	Yale D		3rd	2nd	1st	2nd	3rd	4th	2nd	3rd	4th	12	1381	1	3
223	IIUM B	ESL	4th	2nd	1st	1st	4th	1st	4th	3rd	4th	12	1379	3	1
224	Amherst B		3rd	1st	2nd	4th	2nd	2nd	4th	4th	2nd	12	1378	1	4
225	Wheaton B		2nd	2nd	4th	4th	2nd	3rd	2nd	3rd	2nd	12	1377	0	5
226	Aalto B		2nd	2nd	3rd	4th	4th	3rd	1st	4th	1st	12	1371	2	2
227=	Vellore B	ESL	4th	1st	4th	3rd	3rd	1st	4th	2nd	2nd	12	1370	2	2
227=	Boom Box		4th	1st	1st	3rd	4th	4th	2nd	2nd	3rd	12	1370	2	2
229	Boston A		1st	4th	2nd	2nd	4th	4th	2nd	2nd	3rd	12	1369	1	4
230	Akita A	ESL	3rd	2nd	1st	2nd	4th	3rd	4th	4th	1st	12	1368	2	2
231	Clemson A		3rd	1st	4th	1st	3rd	3rd	2nd	3rd	4th	12	1367	2	1
232	Gadjah Mada B	ESL, EFL	3rd	3rd	3rd	4th	1st	4th	1st	2nd	3rd	12	1366	2	1
233	DAV A	ESL, EFL	4th	1st	4th	3rd	1st	1st	3rd	4th	3rd	12	1365	3	0
234	Vanderbilt A		1st	4th	2nd	4th	2nd	1st	3rd	4th	3rd	12	1364	2	2
235	Queen&#x27;s C		4th	1st	3rd	2nd	3rd	2nd	3rd	3rd	3rd	12	1364	1	2
236	Columbia A		3rd	3rd	4th	1st	2nd	2nd	1st	4th	4th	12	1363	2	2
237	Tufts B		2nd	3rd	4th	3rd	2nd	2nd	2nd	2nd	4th	12	1361	0	5
238	Kobe A	ESL, EFL	3rd	3rd	1st	4th	4th	1st	3rd	1st	4th	12	1360	3	0
239	BINUS Intl A	ESL, EFL	3rd	3rd	2nd	4th	3rd	3rd	2nd	3rd	1st	12	1360	1	2
240=	Hawaii Pacific A		4th	2nd	4th	3rd	1st	4th	3rd	1st	2nd	12	1359	2	2
240=	USMA Panama A	ESL, EFL	4th	1st	2nd	4th	3rd	3rd	4th	1st	2nd	12	1359	2	2
242	Nanyang B		3rd	4th	2nd	1st	3rd	4th	1st	4th	2nd	12	1351	2	2
243	Candle	ESL, EFL	4th	3rd	4th	2nd	3rd	1st	2nd	1st	4th	12	1349	2	2
244	Kristen Petra A	ESL	3rd	3rd	3rd	2nd	1st	2nd	3rd	3rd	4th	12	1349	1	2
245	UCL A		4th	2nd	3rd	2nd	1st	4th	4th	3rd	1st	12	1348	2	2
246	UT Jamaica A		4th	1st	4th	3rd	4th	3rd	2nd	2nd	1st	12	1347	2	2
247	IUT B	ESL	3rd	4th	3rd	1st	3rd	1st	2nd	4th	3rd	12	1343	2	1
248	St Petersburg A	ESL, EFL	4th	1st	3rd	2nd	3rd	1st	4th	3rd	3rd	12	1342	2	1
249	Split A	ESL, EFL	3rd	4th	3rd	2nd	2nd	4th	4th	1st	1st	12	1340	2	2
250	Northeastern China A	ESL, EFL	4th	3rd	3rd	2nd	4th	3rd	1st	2nd	2nd	12	1337	1	3
251	RVCE A	ESL	3rd	3rd	2nd	3rd	3rd	3rd	2nd	1st	4th	12	1334	1	2
252	Solbridge B	ESL, EFL	2nd	4th	2nd	2nd	4th	3rd	3rd	4th	1st	11	1380	1	3
253	Manchester A		2nd	2nd	3rd	2nd	3rd	4th	4th	2nd	3rd	11	1380	0	4
254	Ghana C	ESL	2nd	4th	1st	2nd	3rd	4th	2nd	4th	3rd	11	1377	1	3
255	GLC A		3rd	1st	4th	2nd	3rd	2nd	3rd	3rd	4th	11	1376	1	2
256	Atma Jaya A	ESL, EFL	3rd	1st	2nd	4th	4th	2nd	3rd	2nd	4th	11	1374	1	3
257	Colombo A	ESL	3rd	3rd	2nd	4th	3rd	2nd	3rd	1st	4th	11	1374	1	2
258	President A	ESL, EFL	3rd	2nd	4th	4th	1st	1st	2nd	4th	4th	11	1368	2	2
259	Alberta D		2nd	4th	1st	4th	4th	1st	2nd	3rd	4th	11	1366	2	2
260	Indonesia B	ESL, EFL	4th	1st	4th	1st	2nd	2nd	4th	4th	3rd	11	1364	2	2
261	Glasgow B		1st	4th	1st	2nd	3rd	4th	4th	4th	2nd	11	1363	2	2
262	Lahore Management C	ESL	3rd	2nd	3rd	3rd	3rd	2nd	4th	1st	4th	11	1362	1	2
263	IUT A	ESL	1st	4th	3rd	2nd	3rd	4th	1st	4th	3rd	11	1360	2	1
264	HWS B		3rd	2nd	4th	3rd	1st	4th	4th	3rd	1st	11	1356	2	1
265	GIKI A	ESL	3rd	3rd	2nd	4th	1st	4th	2nd	2nd	4th	11	1356	1	3
266	SMU D		2nd	3rd	4th	1st	2nd	3rd	2nd	4th	4th	11	1355	1	3
267	Fordham B		4th	2nd	3rd	1st	3rd	3rd	3rd	4th	2nd	11	1355	1	2
268	Dalhousie A		4th	1st	2nd	4th	4th	1st	3rd	4th	2nd	11	1354	2	2
269	Georgetown Qatar B	ESL	4th	2nd	3rd	2nd	4th	2nd	1st	3rd	4th	11	1353	1	3
270	Ghana B	ESL	4th	2nd	4th	3rd	1st	3rd	3rd	3rd	2nd	11	1353	1	2
