Rk	team	categories	R1	R2	R3	R4	R5	R6	R7	R8	R9	Pts	Spk	1sts	2nds
20	Cambridge C	ESL	2nd	1st	3rd	3rd	1st	2nd	2nd	4th	1st	17	1422	3	3
21	Sheffield A		1st	2nd	3rd	2nd	1st	1st	4th	2nd	3rd	17	1417	3	3
22	BDU C	ESL	2nd	2nd	2nd	2nd	4th	2nd	1st	1st	3rd	17	1411	2	5
23	Warsaw A	ESL	3rd	2nd	2nd	3rd	1st	4th	1st	1st	2nd	17	1407	3	3
24	Imperial B		3rd	1st	1st	3rd	1st	3rd	1st	3rd	3rd	17	1399	4	0
25	HUJI A		4th	1st	4th	1st	4th	1st	1st	2nd	1st	17	1396	5	1
26	Haifa A	ESL	2nd	2nd	2nd	4th	2nd	2nd	2nd	1st	2nd	17	1391	1	7
27	GUU A		1st	3rd	1st	2nd	4th	1st	4th	3rd	1st	16	1421	4	1
28	Trivium A	ESL	2nd	1st	2nd	1st	4th	3rd	1st	3rd	3rd	16	1420	3	2
29	Belgrade A	ESL	2nd	1st	4th	1st	2nd	1st	1st	4th	4th	16	1419	4	2
30	Kyiv A	ESL	1st	2nd	2nd	4th	1st	2nd	2nd	2nd	4th	16	1412	2	5
31	Technion B	ESL	4th	1st	1st	2nd	2nd	4th	2nd	1st	3rd	16	1410	3	3
32	Edinburgh C	ESL	3rd	2nd	1st	3rd	1st	3rd	2nd	1st	4th	16	1407	3	2
33	Manchester A		1st	3rd	3rd	2nd	2nd	1st	2nd	3rd	3rd	16	1402	2	3
34	Edinburgh B		3rd	2nd	2nd	1st	1st	3rd	4th	2nd	2nd	16	1398	2	4
35	Technion A	ESL	3rd	1st	1st	4th	3rd	1st	1st	4th	2nd	16	1388	4	1
36	HUJI C		1st	3rd	2nd	3rd	3rd	1st	3rd	3rd	1st	16	1384	3	1
37	Belgrade B	ESL	3rd	1st	3rd	2nd	2nd	1st	4th	3rd	1st	16	1381	3	2
38	UCD L&amp;H A		2nd	4th	2nd	2nd	3rd	1st	1st	3rd	2nd	16	1376	2	4
39	KCL A	ESL	2nd	1st	2nd	1st	3rd	4th	2nd	3rd	3rd	15	1410	2	3
40	Zagreb B	ESL	2nd	1st	1st	4th	3rd	3rd	3rd	2nd	2nd	15	1403	2	3
41=	KCL B		1st	2nd	3rd	3rd	2nd	4th	1st	4th	1st	15	1402	3	2
41=	TCD Hist C		3rd	1st	2nd	1st	4th	4th	3rd	1st	2nd	15	1402	3	2
43	Oxford C	ESL	2nd	2nd	4th	1st	3rd	1st	3rd	4th	1st	15	1401	3	2
44	LSE C		1st	4th	2nd	1st	4th	2nd	2nd	1st	4th	15	1398	3	3
45	Durham A		1st	2nd	4th	1st	4th	4th	1st	2nd	2nd	15	1395	3	3
46	TCD Hist E		2nd	3rd	1st	2nd	4th	2nd	3rd	1st	3rd	15	1392	2	3
47	TAU C	ESL	2nd	3rd	1st	3rd	2nd	3rd	3rd	1st	3rd	15	1383	2	2
48	Cambridge B		3rd	1st	4th	2nd	2nd	3rd	3rd	2nd	1st	15	1376	2	3
49	KU A	ESL	4th	1st	2nd	3rd	1st	2nd	4th	3rd	1st	15	1371	3	2
50	Phil B		3rd	2nd	3rd	1st	3rd	3rd	3rd	2nd	1st	15	1364	2	2
51	NLU A	ESL	4th	2nd	3rd	2nd	1st	4th	2nd	1st	2nd	15	1354	2	4
52	Berlin LS		1st	4th	2nd	2nd	1st	3rd	2nd	3rd	4th	14	1416	2	3
53	GUU B		3rd	3rd	1st	1st	2nd	4th	1st	3rd	4th	14	1401	3	1
54	Leiden B	ESL	2nd	2nd	2nd	1st	2nd	4th	2nd	4th	3rd	14	1401	1	5
55	UCD LawSoc A		2nd	4th	1st	1st	3rd	2nd	3rd	2nd	4th	14	1389	2	3
56	KNU A	ESL	1st	3rd	3rd	4th	2nd	1st	1st	4th	3rd	14	1386	3	1
57	TAU B	ESL	1st	3rd	3rd	1st	3rd	4th	2nd	4th	1st	14	1381	3	1
58	Liverpool A		1st	4th	4th	1st	3rd	2nd	2nd	2nd	3rd	14	1378	2	3
59	RRIS E&amp;M		4th	1st	4th	1st	3rd	1st	2nd	4th	2nd	14	1376	3	2
60	LawSoc B		4th	2nd	1st	3rd	1st	2nd	4th	1st	4th	14	1375	3	2
61	Bucharest A	ESL	1st	4th	2nd	4th	1st	3rd	2nd	3rd	2nd	14	1371	2	3
62	Durham C		3rd	2nd	3rd	3rd	4th	2nd	1st	3rd	1st	14	1370	2	2
63	Durham B		3rd	4th	2nd	4th	2nd	3rd	1st	1st	2nd	14	1365	2	3
64	NYUAD		4th	1st	3rd	4th	2nd	3rd	2nd	2nd	1st	14	1360	2	3
65	Vienna B	ESL	2nd	1st	3rd	4th	4th	1st	1st	3rd	3rd	14	1359	3	1
66	Vienna C		2nd	4th	3rd	2nd	2nd	1st	4th	3rd	1st	14	1357	2	3
67	Bristol A		4th	2nd	2nd	3rd	1st	3rd	3rd	3rd	1st	14	1347	2	2
68	CPH ZO		3rd	1st	4th	2nd	2nd	4th	1st	1st	4th	14	1300	3	2
69	St Petersburg A	ESL	1st	4th	2nd	3rd	1st	2nd	4th	2nd	4th	13	1387	2	3
70	Phil C		2nd	3rd	1st	4th	1st	3rd	4th	1st	4th	13	1377	3	1
71	TCD Hist D		3rd	2nd	4th	1st	2nd	3rd	4th	2nd	2nd	13	1375	1	4
72	Technion C	ESL	2nd	4th	1st	2nd	2nd	4th	1st	4th	3rd	13	1371	2	3
73	GUU HM		4th	3rd	1st	1st	1st	3rd	3rd	4th	3rd	13	1370	3	0
74	Zagreb C	ESL	2nd	3rd	4th	3rd	1st	2nd	3rd	3rd	2nd	13	1370	1	3
75	Bar-Ilan A		4th	3rd	1st	2nd	3rd	4th	1st	2nd	3rd	13	1365	2	2
76	UCM IR	ESL	2nd	3rd	4th	3rd	1st	3rd	2nd	3rd	2nd	13	1358	1	3
77	Oxford D		1st	4th	3rd	3rd	2nd	2nd	2nd	4th	2nd	13	1357	1	4
78	Copenhagen PS		4th	4th	1st	3rd	1st	4th	1st	1st	4th	13	1352	4	0
79	UCD L&amp;H B		3rd	3rd	2nd	2nd	4th	4th	2nd	1st	2nd	13	1352	1	4
80	Oxford E		3rd	3rd	2nd	4th	3rd	2nd	2nd	3rd	1st	13	1350	1	3
81	TCD Phil D		3rd	1st	3rd	3rd	4th	2nd	2nd	1st	4th	13	1341	2	2
82	RRIS BM		3rd	3rd	4th	2nd	1st	3rd	1st	3rd	3rd	13	1341	2	1
83	UCL B	ESL	3rd	2nd	1st	4th	3rd	3rd	2nd	4th	1st	13	1274	2	2
84	UCL C		3rd	4th	1st	4th	2nd	2nd	4th	3rd	1st	12	1371	2	2
85	Ljubljana DL	ESL	2nd	4th	3rd	2nd	3rd	2nd	3rd	1st	4th	12	1365	1	3
86	NU C	ESL	2nd	3rd	4th	1st	1st	2nd	4th	4th	3rd	12	1363	2	2
87	Imperial C		2nd	3rd	2nd	4th	2nd	2nd	4th	4th	1st	12	1359	1	4
88	NU A	ESL	1st	3rd	3rd	2nd	4th	2nd	3rd	4th	2nd	12	1355	1	3
89	Weizmann A	ESL	3rd	2nd	4th	2nd	4th	2nd	2nd	2nd	3rd	12	1350	0	5
90	Open A		2nd	2nd	4th	3rd	1st	1st	3rd	4th	4th	12	1348	2	2
91	Imperial D		1st	4th	3rd	3rd	3rd	4th	1st	1st	4th	12	1346	3	0
92	Liverpool B		3rd	4th	1st	1st	4th	3rd	3rd	3rd	2nd	12	1345	2	1
93	IDC C		3rd	1st	2nd	4th	4th	3rd	1st	3rd	3rd	12	1344	2	1
94	Edinburgh D		2nd	4th	3rd	2nd	4th	1st	3rd	4th	1st	12	1342	2	2
95	Corvinus A	ESL	1st	3rd	4th	4th	4th	3rd	2nd	1st	2nd	12	1341	2	2
96	Ljubljana NE	ESL	4th	1st	3rd	4th	3rd	1st	4th	3rd	1st	12	1333	3	0
97	Aberdeen BF		3rd	4th	2nd	4th	1st	1st	4th	2nd	3rd	12	1330	2	2
98	IHU A	ESL	4th	3rd	3rd	4th	1st	1st	4th	1st	3rd	12	1328	3	0
99	HUJI M&amp;O	ESL	3rd	3rd	2nd	3rd	3rd	1st	4th	1st	4th	12	1271	2	1
100	IDC B	ESL	4th	3rd	3rd	3rd	2nd	2nd	4th	1st	2nd	12	1263	1	3
101	IDC A	ESL	1st	2nd	4th	2nd	4th	4th	2nd	2nd	4th	11	1363	1	4
102	Ljubljana GU	ESL	2nd	4th	3rd	2nd	3rd	3rd	3rd	3rd	2nd	11	1356	0	3
103	UCD L&amp;H C		3rd	2nd	2nd	3rd	2nd	2nd	4th	4th	3rd	11	1354	0	4
104	HUJI D	ESL	3rd	3rd	1st	4th	2nd	3rd	3rd	2nd	4th	11	1353	1	2
105	Rhetorica DJ		3rd	1st	3rd	4th	3rd	1st	2nd	4th	4th	11	1350	2	1
106	ACG A	ESL	2nd	2nd	1st	4th	4th	4th	3rd	4th	1st	11	1346	2	2
107	Aalto A		4th	2nd	1st	4th	1st	4th	4th	2nd	3rd	11	1340	2	2
108	Split JP	ESL	4th	2nd	4th	4th	1st	3rd	2nd	2nd	3rd	11	1326	1	3
109	Colman SM	ESL	3rd	4th	3rd	1st	4th	3rd	2nd	4th	1st	11	1319	2	1
110	Copenhagen C	ESL	2nd	2nd	4th	3rd	3rd	3rd	4th	2nd	2nd	11	1269	0	4
111	UCM-COM MR		2nd	2nd	4th	4th	3rd	1st	4th	1st	4th	11	834	2	2
112	NU B	ESL	3rd	3rd	4th	1st	2nd	1st	4th	4th	4th	10	1363	2	1
113	Charles University A	ESL	4th	2nd	3rd	1st	2nd	4th	3rd	3rd	4th	10	1342	1	2
114	Bar-Ilan B	ESL	4th	4th	2nd	1st	4th	4th	3rd	1st	3rd	10	1338	2	1
115	AUTH/DUTH PP	ESL	1st	4th	3rd	1st	4th	4th	3rd	3rd	3rd	10	1336	2	0
116	UAM A	ESL	4th	4th	1st	4th	3rd	2nd	1st	4th	3rd	10	1328	2	1
117	APA A	ESL	4th	4th	2nd	3rd	1st	3rd	4th	1st	4th	10	1321	2	1
118	Maynooth A		4th	3rd	4th	4th	3rd	2nd	1st	3rd	2nd	10	1315	1	2
119	Haifa C	ESL	3rd	4th	2nd	3rd	3rd	4th	1st	2nd	4th	10	1254	1	2
120	Uni Würzburg		4th	4th	3rd	3rd	4th	1st	3rd	2nd	2nd	10	1190	1	2
121	Aberdeen DW		4th	1st	3rd	2nd	4th	4th	3rd	4th	2nd	9	1342	1	2
122	CM Fundación SEPI B	ESL	4th	1st	4th	3rd	4th	2nd	1st	4th	4th	9	1333	2	1
123	Split RT	ESL	3rd	4th	3rd	3rd	2nd	2nd	4th	2nd	4th	9	1331	0	3
124	Bocconi B		2nd	1st	4th	4th	4th	4th	1st	4th	3rd	9	1330	2	1
125	BDU HNH	ESL	4th	2nd	4th	4th	2nd	4th	4th	2nd	1st	9	1327	1	3
126	RRIS + L/J		4th	3rd	4th	1st	3rd	4th	2nd	3rd	3rd	9	1306	1	1
127	Corvinus B		3rd	3rd	4th	4th	3rd	3rd	2nd	4th	1st	9	941	1	1
128	Haifa B	ESL	2nd	4th	2nd	4th	2nd	4th	4th	4th	2nd	8	1321	0	4
129	BGU M&amp;R	ESL	4th	4th	4th	3rd	2nd	1st	4th	2nd	4th	8	1307	1	2
130	Bocconi A	ESL	4th	3rd	2nd	4th	3rd	2nd	3rd	3rd	4th	8	1306	0	2
131	CM Fundación SEPI A	ESL	4th	4th	4th	1st	4th	1st	3rd	4th	4th	7	1298	2	0
132	KU B	ESL	4th	3rd	3rd	2nd	4th	3rd	4th	3rd	3rd	7	1290	0	1
133	KU C	ESL	4th	4th	3rd	2nd	4th	4th	3rd	4th	2nd	6	1303	0	2
134	Liverpool C		4th	2nd	4th	2nd	4th	3rd	4th	3rd	4th	6	1292	0	2
135	URJC A	ESL	4th	4th	4th	2nd	1st	4th	3rd	4th	4th	6	1284	1	1
136	SDUL J M	ESL	4th	4th	4th	4th	4th	4th	4th	1st	3rd	4	1252	1	0
137=	SWING H-uesca		—	—	—	—	—	—	—	—	—	—	—	0	0
137=	SWING M-urcia		—	—	—	—	—	—	—	—	—	—	—	0	0
137=	SWING T-eruel		—	—	—	—	—	—	—	—	—	—	—	0	0
